date	diseased_total	diseased_outside_china	died_total	died_outside_china
20.01.2020	282	4	6	0
21.01.2020	314	5	6	0
23.01.2020	581	10	17	0
24.01.2020	846	16	25	0
25.01.2020	1320	23	41	0
26.01.2020	2014	29	56	0
27.01.2020	2798	37	80	0
28.01.2020	4593	56	106	0
29.01.2020	6065	68	132	0
30.01.2020	7818	82	170	0
31.01.2020	9826	106	213	0
01.02.2020	11953	132	259	0
02.02.2020	14557	146	305	1
03.02.2020	17391	153	361	1
04.02.2020	20630	159	425	1
05.02.2020	24554	191	491	1
06.02.2020	28276	216	564	1
07.02.2020	31481	270	637	1
08.02.2020	34886	288	723	1
09.02.2020	37558	307	812	1
10.02.2020	40554	319	909	1
11.02.2020	43103	395	1017	1
12.02.2020	45171	441	1114	1
13.02.2020	46997	447	1369	1
14.02.2020	49053	505	1381	2
15.02.2020	50580	526	1524	2
16.02.2020	51857	683	1666	3
17.02.2020	71429	794	1772	3
18.02.2020	73332	804	1870	3
19.02.2020	75204	924	2006	3
20.02.2020	75748	1073	2121	8
21.02.2020	76769	1200	2239	8
22.02.2020	77794	1402	2348	11
23.02.2020	78811	1769	2445	17
24.02.2020	79331	2069	2595	23
